County,Highest EQI Values,Highest EQI
Autauga,0.9553846,Air_EQI
Baldwin,0.7179643,Air_EQI
Barbour,0.1310074,Air_EQI
Bibb Cou,0.065289,Air_EQI
Blount C,0.4021944,Air_EQI
Bullock,-0.3091858,Air_EQI
Butler C,-0.0580627,Built_EQI
Calhoun,1.027328,Air_EQI
Chambers,0.6116033,Air_EQI
Cherokee,0.1769833,Air_EQI
Chilton,0.1707421,Air_EQI
Choctaw,-0.3624081,Air_EQI
Clarke C,-0.1306789,Air_EQI
Clay Cou,-0.1722357,Air_EQI
Cleburne,0.0225133,Air_EQI
Coffee C,0.4223093,Air_EQI
Colbert,1.04411,Air_EQI
Conecuh,-0.4582785,Air_EQI
Coosa Co,-0.1089109,Air_EQI
Covingto,0.2726992,Built_EQI
Crenshaw,-0.5155603,Air_EQI
Cullman,0.5872105,Air_EQI
Dale Cou,0.6042639,Air_EQI
Dallas C,0.5834208,Air_EQI
DeKalb C,0.3951405,Air_EQI
Elmore C,0.8346915,Sociod_EQI
Escambia,0.4550379,Air_EQI
Etowah C,1.261626,Air_EQI
Fayette,-0.1948088,Air_EQI
Franklin,0.2432008,Air_EQI
Geneva C,0.0872817,Air_EQI
Greene C,-0.2028892,Air_EQI
Hale Cou,-0.0835471,Air_EQI
Henry Co,-0.0988077,Air_EQI
Houston,1.19405,Built_EQI
Jackson,0.3244386,Air_EQI
Jefferso,1.599425,Air_EQI
Lamar Co,-0.2476654,Air_EQI
Lauderda,1.157003,Air_EQI
Lawrence,0.6954468,Air_EQI
Lee Coun,1.095201,Air_EQI
Limeston,1.109551,Air_EQI
Lowndes,-0.1692804,Air_EQI
Macon Co,0.414538,Air_EQI
Madison,1.119115,Air_EQI
Marengo,0.4736884,Built_EQI
Marion C,-0.0701385,Air_EQI
Marshall,0.5074522,Air_EQI
Mobile C,1.273919,Air_EQI
Monroe C,-0.1765922,Air_EQI
Montgome,1.06388,Air_EQI
Morgan C,1.484486,Air_EQI
Perry Co,-0.3099595,Land_EQI
Pickens,-0.2984365,Air_EQI
Pike Cou,0.3160656,Built_EQI
Randolph,-0.057707,Air_EQI
Russell,1.221229,Air_EQI
St. Clai,0.820862,Air_EQI
Shelby C,1.941549,Sociod_EQI
Sumter C,0.1764608,Built_EQI
Talladeg,0.9052505,Air_EQI
Tallapoo,0.1637152,Air_EQI
Tuscaloo,1.199555,Air_EQI
Walker C,0.4714692,Air_EQI
Washingt,-0.2202014,Air_EQI
Wilcox C,-0.525683,Air_EQI
Winston,0.0160874,Air_EQI
Anchorag,1.224079,Built_EQI
Fairbank,0.9446222,Water_EQI
Juneau B,1.791411,Sociod_EQI
Kodiak I,0.816367,Sociod_EQI
Valdez-C,1.761043,Built_EQI
Apache C,0.9266468,Water_EQI
Cochise,1.095507,Water_EQI
Coconino,1.240264,Built_EQI
Gila Cou,0.8808818,Water_EQI
Graham C,1.034606,Land_EQI
Greenlee,0.8779061,Water_EQI
La Paz C,0.9073426,Water_EQI
Maricopa,1.335512,Air_EQI
Mohave C,0.9303256,Water_EQI
Navajo C,1.227014,Water_EQI
Pima Cou,1.163192,Water_EQI
Pinal Co,1.099522,Land_EQI
Santa Cr,1.148265,Water_EQI
Yavapai,0.9824299,Water_EQI
Yuma Cou,0.9618529,Water_EQI
Arkansas,0.6660017,Built_EQI
Ashley C,0.8755393,Water_EQI
Baxter C,0.8428338,Water_EQI
Benton C,0.8732282,Water_EQI
Boone Co,0.8687472,Built_EQI
