County,Highest Parts Per Million Value,Highest Parts Per Million
Autauga,15.07,PM10
Baldwin,19.99,PM10
Barbour,15.77,PM10
Bibb Cou,14.92,PM10
Blount C,17.9,PM10
Bullock,15.95,PM10
Butler C,13.18,PM10
Calhoun,16.17,PM10
Chambers,13.97,PM10
Cherokee,16.78,PM10
Chilton,15.96,PM10
Choctaw,11.79,PM2.5
Clarke C,11.74,PM2.5
Clay Cou,16.1,PM10
Cleburne,14.36,PM10
Coffee C,15.7,PM10
Colbert,11.65,PM2.5
Conecuh,14.72,PM10
Coosa Co,16.73,PM10
Covingto,13.54,PM10
Crenshaw,15.63,PM10
Cullman,14.6,PM10
Dale Cou,16.86,PM10
Dallas C,12.19,PM10
DeKalb C,16.56,PM10
Elmore C,17.34,PM10
Escambia,19.05,PM10
Etowah C,19.88,PM10
Fayette,11.99,PM2.5
Franklin,11.45,PM2.5
Geneva C,14.07,PM10
Greene C,11.85,PM2.5
Hale Cou,14.54,PM10
Henry Co,15.91,PM10
Houston,18.08,PM10
Jackson,13.06,PM10
Jefferso,29.89,PM10
Lamar Co,11.51,PM2.5
Lauderda,12.01,PM2.5
Lawrence,12.0,PM2.5
Lee Coun,15.89,PM10
Limeston,12.51,PM10
Lowndes,13.83,PM10
Macon Co,15.02,PM10
Madison,19.13,PM10
Marengo,13.27,PM10
Marion C,11.6,PM2.5
Marshall,16.01,PM10
Mobile C,17.29,PM10
Monroe C,12.38,PM10
Montgome,17.94,PM10
Morgan C,15.16,PM10
Perry Co,13.39,PM10
Pickens,11.81,PM2.5
Pike Cou,21.26,PM10
Randolph,13.72,PM10
Russell,16.87,PM10
St. Clai,21.16,PM10
Shelby C,22.42,PM10
Sumter C,11.91,PM2.5
Talladeg,22.72,PM10
Tallapoo,14.35,PM10
Tuscaloo,13.85,PM10
Walker C,13.4,PM10
Washingt,11.36,PM2.5
Wilcox C,11.58,PM2.5
Winston,12.23,PM2.5
Anchorag,8.56,PM10
Fairbank,3.44,PM2.5
Juneau B,3.06,PM10
Kodiak I,1.7,PM2.5
Valdez-C,2.48,PM2.5
Apache C,7.95,PM10
Cochise,13.42,PM10
Coconino,6.01,PM10
Gila Cou,12.17,PM10
Graham C,17.09,PM10
Greenlee,9.43,PM10
La Paz C,10.72,PM10
Maricopa,29.9,PM10
Mohave C,9.51,PM10
Navajo C,6.42,PM10
Pima Cou,13.73,PM10
Pinal Co,25.66,PM10
Santa Cr,25.54,PM10
Yavapai,11.53,PM10
Yuma Cou,11.07,PM10
Arkansas,11.31,PM2.5
Ashley C,11.2,PM2.5
Baxter C,10.73,PM2.5
Benton C,12.04,PM10
Boone Co,10.47,PM2.5
Bradley,11.38,PM2.5
Calhoun,11.27,PM2.5
Carroll,10.66,PM2.5
Chicot C,11.06,PM2.5
Clark Co,11.18,PM2.5
Clay Cou,11.26,PM2.5
Cleburne,10.92,PM2.5
Clevelan,11.5,PM2.5
Columbia,11.05,PM2.5
Conway C,11.29,PM2.5
Craighea,11.3,PM2.5
Crawford,11.01,PM2.5
Crittend,11.81,PM2.5
Cross Co,11.12,PM2.5
Dallas C,11.4,PM2.5
Desha Co,11.32,PM2.5
Drew Cou,11.22,PM2.5
Faulkner,11.82,PM2.5
Franklin,11.0,PM2.5
Fulton C,10.42,PM2.5
