County,Highest Pollutant,Highest Pollutant Value
Autauga,O3,522.38
Baldwin,O3,540.79
Barbour,O3,896.42
Bibb Cou,O3,563.48
Blount C,O3,561.94
Bullock,O3,652.28
Butler C,O3,578.7
Calhoun,O3,531.53
Chambers,O3,634.03
Cherokee,O3,838.14
Chilton,O3,534.52
Choctaw,O3,641.07
Clarke C,O3,592.35
Clay Cou,O3,485.97
Cleburne,O3,592.32
Coffee C,O3,789.66
Colbert,O3,1178.5
Conecuh,O3,551.7
Coosa Co,O3,534.47
Covingto,O3,667.19
Crenshaw,O3,628.37
Cullman,O3,622.29
Dale Cou,O3,965.41
Dallas C,O3,541.73
DeKalb C,O3,852.01
Elmore C,O3,522.75
Escambia,O3,560.09
Etowah C,O3,646.69
Fayette,O3,817.46
Franklin,O3,929.91
Geneva C,O3,1200.57
Greene C,O3,632.23
Hale Cou,O3,573.01
Henry Co,O3,1296.75
Houston,O3,1730.12
Jackson,O3,952.67
Jefferso,O3,651.83
Lamar Co,O3,968.71
Lauderda,O3,3080.58
Lawrence,O3,817.1
Lee Coun,O3,822.94
Limeston,O3,862.58
Lowndes,O3,580.24
Macon Co,O3,651.63
Madison,O3,825.5
Marengo,O3,556.69
Marion C,O3,954.6
Marshall,O3,666.63
Mobile C,O3,542.97
Monroe C,O3,515.58
Montgome,O3,583.68
Morgan C,O3,702.2
Perry Co,O3,560.06
Pickens,O3,783.39
Pike Cou,O3,635.85
Randolph,O3,553.51
Russell,O3,1237.46
St. Clai,O3,595.8
Shelby C,O3,556.3
Sumter C,O3,636.18
Talladeg,O3,555.67
Tallapoo,O3,564.53
Tuscaloo,O3,716.05
Walker C,O3,755.38
Washingt,O3,692.5
Wilcox C,O3,561.15
Winston,O3,705.66
Anchorag,CO,6.2390284
Fairbank,CO,5.5815055
Juneau B,O3,7.8
Kodiak I,CO,1.7487908
Valdez-C,O3,2.3
Apache C,O3,450.25
Cochise,O3,90.62
Coconino,O3,125.63
Gila Cou,O3,100.1
Graham C,O3,95.9
Greenlee,O3,126.24
La Paz C,O3,248.65
Maricopa,O3,183.08
Mohave C,O3,515.09
Navajo C,O3,214.22
Pima Cou,O3,91.17
Pinal Co,O3,156.92
Santa Cr,O3,89.43
Yavapai,O3,110.86
Yuma Cou,O3,161.8
Arkansas,O3,1644.61
Ashley C,O3,2029.63
Baxter C,O3,1609.13
Benton C,O3,2648.52
Boone Co,O3,1041.0
Bradley,O3,1422.17
Calhoun,O3,1227.42
Carroll,O3,1360.28
Chicot C,O3,3033.75
Clark Co,O3,757.13
Clay Cou,O3,1878.11
Cleburne,O3,1109.87
Clevelan,O3,1215.74
Columbia,O3,1599.27
Conway C,O3,878.15
Craighea,O3,1377.89
Crawford,O3,1693.99
Crittend,O3,854.65
Cross Co,O3,1289.87
Dallas C,O3,853.79
Desha Co,O3,2356.25
Drew Cou,O3,1765.91
Faulkner,O3,1000.54
Franklin,O3,1013.09
Fulton C,O3,1674.64
Garland,O3,819.03
Grant Co,O3,899.05
Greene C,O3,1629.79
Hempstea,O3,1090.07
Hot Spri,O3,848.34
Howard C,O3,726.98
Independ,O3,1223.14
Izard Co,O3,1424.17
Jackson,O3,1291.25
Jefferso,O3,1163.29
Johnson,O3,660.02
Lafayett,O3,1759.08
Lawrence,O3,1521.98
Lee Coun,O3,1634.34
Lincoln,O3,1410.22
Little R,O3,1448.14
Logan Co,O3,870.06
Lonoke C,O3,1008.63
Madison,O3,942.79
Marion C,O3,1502.36
Miller C,O3,1853.13
Mississi,O3,1328.96
Monroe C,O3,1546.86
Montgome,O3,533.75
Nevada C,O3,1119.67
Newton C,O3,598.33
Ouachita,O3,1159.25
Perry Co,O3,864.4
